Year,GDP
2001,568.386290532649
2002,530.53044625893
2003,478.007604434538
2004,482.998451486038
2005,476.555402524382
2006,447.854739946441
2007,431.787258728843
2008,356.693234400305
2009,771.599032295455
2010,948.331481033457
2011,1093.65340855817
2012,1304.96801065699
2013,1429.99846146678
2014,1434.89627731806
2015,1445.06970213198
2016,1464.58895715841
2017,1235.18903192064
2018,1254.64226494434
2019,1316.74065692871
2020,1214.50982023534
